date,customer_id,product,region,channel,quantity,unit_price,discount,revenue,csat_score,churn
2021-02-02,CUST0202,Watch,West,Partner,4,15000,0.22,46800.0,1,1
2021-02-03,CUST0126,Laptop,North,Partner,13,75000,0.16,819000.0,4,0
2021-02-04,CUST0294,Tablet,South,Retail,13,25000,0.07,302250.0,4,0
2021-02-05,CUST0064,Earbuds,West,Online,3,5000,0.07,13950.0,5,0
2021-02-06,CUST0176,Tablet,East,Retail,11,25000,0.22,214500.0,3,0
2021-02-07,CUST0116,Earbuds,West,Online,2,5000,0.0,10000.0,5,1
2021-02-08,CUST0204,Laptop,East,Online,10,75000,0.08,690000.0,5,0
2021-02-09,CUST0031,Phone,East,Online,13,35000,0.14,391300.0,3,0
2021-02-10,CUST0113,Watch,West,Retail,11,15000,0.04,158400.0,5,1
2021-02-11,CUST0067,Laptop,East,Online,9,75000,0.02,661500.0,2,1
2021-02-12,CUST0075,Watch,North,Retail,4,15000,0.2,48000.0,2,1
2021-02-13,CUST0045,Phone,South,Partner,3,35000,0.22,81900.0,2,1
2021-02-14,CUST0260,Phone,East,Partner,7,35000,0.21,193550.0,2,1
2021-02-15,CUST0154,Laptop,North,Online,8,75000,0.22,468000.0,5,0
2021-02-16,CUST0155,Phone,East,Retail,11,35000,0.14,331100.0,2,1
2021-02-17,CUST0234,Earbuds,South,Partner,14,5000,0.2,56000.0,3,0
2021-02-18,CUST0051,Phone,North,Retail,2,35000,0.1,63000.0,2,1
2021-02-19,CUST0262,Watch,South,Retail,7,15000,0.17,87150.0,3,0
2021-02-20,CUST0125,Watch,South,Online,12,15000,0.25,135000.0,2,1
2021-02-21,CUST0245,Watch,North,Partner,5,15000,0.06,70500.0,4,0
2021-02-22,CUST0030,Watch,North,Online,11,15000,0.1,148500.0,2,1
2021-02-23,CUST0122,Earbuds,North,Online,5,5000,0.12,22000.0,5,0
2021-02-24,CUST0125,Tablet,West,Partner,3,25000,0.03,72750.0,5,1
2021-02-25,CUST0037,Laptop,North,Partner,5,75000,0.02,367500.0,1,1
2021-02-26,CUST0170,Watch,North,Retail,12,15000,0.21,142200.0,5,0
2021-02-27,CUST0124,Phone,North,Partner,2,35000,0.24,53200.0,1,1
2021-02-28,CUST0035,Watch,North,Retail,4,15000,0.1,54000.0,3,0
2021-03-01,CUST0087,Phone,East,Retail,6,35000,0.02,205800.0,1,1
2021-03-02,CUST0134,Phone,West,Retail,1,35000,0.02,34300.0,3,1
2021-03-03,CUST0196,Watch,South,Partner,10,15000,0.22,117000.0,4,0
2021-03-04,CUST0274,Earbuds,North,Online,4,5000,0.12,17600.0,5,1
2021-03-05,CUST0201,Phone,East,Retail,6,35000,0.08,193200.0,3,0
2021-03-06,CUST0285,Phone,East,Online,9,35000,0.12,277200.0,5,0
2021-03-07,CUST0077,Watch,East,Online,14,15000,0.08,193200.0,3,0
2021-03-08,CUST0059,Phone,South,Partner,11,35000,0.12,338800.0,5,0
2021-03-09,CUST0126,Phone,North,Online,11,35000,0.21,304150.0,3,0
2021-03-10,CUST0109,Watch,West,Online,13,15000,0.15,165750.0,2,1
2021-03-11,CUST0224,Watch,West,Partner,2,15000,0.17,24900.0,3,0
2021-03-12,CUST0278,Laptop,East,Retail,11,75000,0.09,750750.0,3,0
2021-03-13,CUST0068,Earbuds,South,Online,7,5000,0.18,28700.0,4,0
2021-03-14,CUST0069,Earbuds,South,Partner,6,5000,0.17,24900.0,5,0
2021-03-15,CUST0165,Phone,South,Online,2,35000,0.03,67900.0,2,1
2021-03-16,CUST0162,Earbuds,West,Online,8,5000,0.14,34400.0,5,0
2021-03-17,CUST0042,Phone,East,Retail,7,35000,0.06,230300.0,4,0
2021-03-18,CUST0109,Laptop,North,Online,11,75000,0.2,660000.0,5,0
2021-03-19,CUST0051,Watch,West,Partner,5,15000,0.11,66750.0,3,0
2021-03-20,CUST0250,Watch,East,Online,12,15000,0.25,135000.0,4,0
2021-03-21,CUST0021,Watch,East,Retail,5,15000,0.02,73500.0,5,1
2021-03-22,CUST0300,Earbuds,North,Retail,7,5000,0.2,28000.0,4,0
2021-03-23,CUST0139,Laptop,North,Partner,9,75000,0.17,560250.0,4,0
2021-03-24,CUST0092,Earbuds,North,Retail,11,5000,0.19,44550.0,2,1
2021-03-25,CUST0280,Earbuds,South,Online,9,5000,0.08,41400.0,3,0
2021-03-26,CUST0125,Laptop,North,Retail,9,75000,0.12,594000.0,4,0
2021-03-27,CUST0111,Laptop,East,Partner,6,75000,0.2,360000.0,5,0
2021-03-28,CUST0139,Laptop,North,Retail,10,75000,0.06,705000.0,2,1
2021-03-29,CUST0273,Laptop,East,Retail,6,75000,0.06,423000.0,4,0
2021-03-30,CUST0099,Watch,West,Retail,3,15000,0.14,38700.0,4,0
2021-03-31,CUST0252,Tablet,South,Partner,1,25000,0.13,21750.0,4,0
2021-04-01,CUST0104,Tablet,West,Retail,7,25000,0.07,162750.0,4,0
2021-04-02,CUST0214,Laptop,West,Retail,4,75000,0.07,279000.0,5,0
2021-04-03,CUST0249,Tablet,East,Online,1,25000,0.07,23250.0,3,0
2021-04-04,CUST0152,Tablet,West,Partner,8,25000,0.19,162000.0,5,0
2021-04-05,CUST0250,Laptop,East,Retail,12,75000,0.16,756000.0,3,0
2021-04-06,CUST0275,Tablet,North,Partner,6,25000,0.21,118500.0,3,0
2021-04-07,CUST0165,Earbuds,North,Retail,6,5000,0.24,22800.0,3,1
2021-04-08,CUST0008,Phone,East,Retail,2,35000,0.12,61600.0,2,1
2021-04-09,CUST0284,Phone,North,Retail,1,35000,0.02,34300.0,3,1
2021-04-10,CUST0005,Laptop,South,Online,13,75000,0.01,965250.0,2,1
2021-04-11,CUST0145,Watch,West,Online,14,15000,0.07,195300.0,5,0
2021-04-12,CUST0101,Laptop,South,Online,14,75000,0.23,808500.0,2,1
2021-04-13,CUST0164,Watch,West,Partner,2,15000,0.13,26100.0,5,0
2021-04-14,CUST0147,Phone,North,Partner,4,35000,0.07,130200.0,1,1
2021-04-15,CUST0064,Laptop,South,Online,2,75000,0.1,135000.0,5,0
2021-04-16,CUST0091,Earbuds,North,Partner,1,5000,0.15,4250.0,5,0
2021-04-17,CUST0117,Tablet,West,Retail,7,25000,0.16,147000.0,1,1
2021-04-18,CUST0267,Watch,East,Retail,11,15000,0.04,158400.0,5,1
2021-04-19,CUST0173,Tablet,East,Retail,11,25000,0.24,209000.0,4,0
2021-04-20,CUST0047,Tablet,South,Online,12,25000,0.14,258000.0,5,0
2021-04-21,CUST0140,Laptop,North,Partner,8,75000,0.03,582000.0,4,1
2021-04-22,CUST0246,Tablet,North,Online,6,25000,0.22,117000.0,4,0
2021-04-23,CUST0149,Earbuds,South,Partner,4,5000,0.02,19600.0,5,1
2021-04-24,CUST0246,Tablet,East,Retail,14,25000,0.23,269500.0,4,0
2021-04-25,CUST0005,Laptop,West,Online,6,75000,0.25,337500.0,1,1
2021-04-26,CUST0184,Earbuds,South,Partner,3,5000,0.18,12300.0,5,0
2021-04-27,CUST0020,Phone,West,Partner,12,35000,0.19,340200.0,4,0
2021-04-28,CUST0046,Tablet,East,Retail,8,25000,0.08,184000.0,4,0
2021-04-29,CUST0012,Laptop,North,Online,10,75000,0.24,570000.0,1,1
2021-04-30,CUST0070,Phone,East,Online,14,35000,0.13,426300.0,4,0
2021-05-01,CUST0017,Phone,South,Online,13,35000,0.18,373100.0,5,1
2021-05-02,CUST0147,Watch,North,Retail,13,15000,0.23,150150.0,3,0
2021-05-03,CUST0154,Earbuds,South,Online,2,5000,0.24,7600.0,4,0
2021-05-04,CUST0108,Tablet,South,Retail,5,25000,0.21,98750.0,4,0
2021-05-05,CUST0236,Laptop,East,Retail,1,75000,0.08,69000.0,5,0
2021-05-06,CUST0070,Watch,South,Retail,6,15000,0.24,68400.0,4,0
2021-05-07,CUST0183,Earbuds,East,Partner,2,5000,0.16,8400.0,3,0
2021-05-08,CUST0250,Watch,North,Online,4,15000,0.23,46200.0,5,0
2021-05-09,CUST0228,Earbuds,East,Online,6,5000,0.17,24900.0,4,0
2021-05-10,CUST0102,Earbuds,North,Retail,10,5000,0.08,46000.0,2,1
2021-05-11,CUST0075,Tablet,East,Retail,11,25000,0.09,250250.0,2,1
2021-05-12,CUST0216,Earbuds,West,Online,8,5000,0.14,34400.0,4,0
2021-05-13,CUST0203,Watch,West,Retail,12,15000,0.2,144000.0,3,0
2021-05-14,CUST0192,Earbuds,South,Online,8,5000,0.08,36800.0,3,0
2021-05-15,CUST0249,Tablet,East,Partner,11,25000,0.14,236500.0,5,0
2021-05-16,CUST0242,Tablet,East,Retail,6,25000,0.09,136500.0,2,1
2021-05-17,CUST0179,Watch,North,Online,4,15000,0.2,48000.0,5,0
2021-05-18,CUST0219,Phone,South,Retail,8,35000,0.12,246400.0,3,0
2021-05-19,CUST0082,Phone,East,Online,13,35000,0.02,445900.0,5,1
2021-05-20,CUST0092,Earbuds,South,Online,8,5000,0.04,38400.0,5,1
2021-05-21,CUST0175,Laptop,West,Retail,10,75000,0.02,735000.0,1,1
2021-05-22,CUST0239,Earbuds,East,Partner,14,5000,0.12,61600.0,4,0
2021-05-23,CUST0260,Watch,East,Online,1,15000,0.03,14550.0,2,1
2021-05-24,CUST0163,Watch,South,Online,4,15000,0.03,58200.0,5,1
2021-05-25,CUST0048,Watch,East,Online,4,15000,0.24,45600.0,5,0
2021-05-26,CUST0116,Watch,South,Partner,7,15000,0.22,81900.0,4,0
2021-05-27,CUST0225,Watch,East,Partner,14,15000,0.11,186900.0,4,0
2021-05-28,CUST0147,Tablet,North,Retail,14,25000,0.25,262500.0,3,0
2021-05-29,CUST0063,Phone,South,Partner,11,35000,0.0,385000.0,5,1
2021-05-30,CUST0294,Watch,East,Retail,7,15000,0.15,89250.0,4,0
2021-05-31,CUST0013,Laptop,West,Retail,13,75000,0.15,828750.0,3,0
2021-06-01,CUST0189,Laptop,East,Partner,11,75000,0.11,734250.0,4,1
2021-06-02,CUST0287,Laptop,West,Retail,8,75000,0.1,540000.0,2,1
2021-06-03,CUST0208,Laptop,West,Partner,11,75000,0.11,734250.0,5,0
2021-06-04,CUST0114,Tablet,North,Retail,5,25000,0.1,112500.0,1,1
2021-06-05,CUST0022,Laptop,South,Partner,7,75000,0.18,430500.0,4,0
2021-06-06,CUST0214,Watch,East,Partner,8,15000,0.03,116400.0,3,1
2021-06-07,CUST0171,Earbuds,North,Retail,9,5000,0.05,42750.0,3,0
2021-06-08,CUST0054,Laptop,East,Online,3,75000,0.05,213750.0,4,1
2021-06-09,CUST0298,Tablet,West,Retail,3,25000,0.07,69750.0,5,0
2021-06-10,CUST0126,Tablet,South,Partner,4,25000,0.13,87000.0,5,0
2021-06-11,CUST0277,Laptop,East,Online,5,75000,0.03,363750.0,3,1
2021-06-12,CUST0204,Earbuds,East,Retail,10,5000,0.22,39000.0,3,0
2021-06-13,CUST0194,Laptop,West,Retail,1,75000,0.07,69750.0,5,0
2021-06-14,CUST0169,Tablet,East,Retail,7,25000,0.04,168000.0,4,1
2021-06-15,CUST0152,Phone,East,Online,9,35000,0.17,261450.0,2,1
2021-06-16,CUST0035,Watch,West,Partner,8,15000,0.01,118800.0,5,1
2021-06-17,CUST0184,Tablet,North,Retail,5,25000,0.15,106250.0,5,0
2021-06-18,CUST0286,Laptop,West,Retail,14,75000,0.17,871500.0,5,1
2021-06-19,CUST0057,Watch,North,Retail,14,15000,0.05,199500.0,5,0
2021-06-20,CUST0222,Laptop,South,Retail,4,75000,0.01,297000.0,5,1
2021-06-21,CUST0163,Laptop,North,Retail,12,75000,0.09,819000.0,2,1
2021-06-22,CUST0019,Phone,North,Partner,7,35000,0.02,240100.0,2,1
2021-06-23,CUST0264,Watch,South,Partner,5,15000,0.03,72750.0,4,1
2021-06-24,CUST0282,Watch,North,Retail,7,15000,0.06,98700.0,4,0
2021-06-25,CUST0113,Phone,West,Online,12,35000,0.07,390600.0,4,0
2021-06-26,CUST0030,Tablet,North,Partner,1,25000,0.13,21750.0,4,0
2021-06-27,CUST0135,Laptop,South,Online,1,75000,0.17,62250.0,4,0
2021-06-28,CUST0067,Earbuds,West,Partner,10,5000,0.15,42500.0,4,0
2021-06-29,CUST0065,Laptop,South,Retail,14,75000,0.04,1008000.0,1,1
2021-06-30,CUST0292,Laptop,South,Partner,13,75000,0.04,936000.0,3,1
2021-07-01,CUST0025,Tablet,East,Retail,3,25000,0.22,58500.0,4,0
2021-07-02,CUST0037,Laptop,East,Partner,14,75000,0.14,903000.0,5,0
2021-07-03,CUST0001,Phone,South,Retail,11,35000,0.22,300300.0,3,0
2021-07-04,CUST0037,Phone,South,Retail,2,35000,0.09,63700.0,4,0
2021-07-05,CUST0141,Watch,South,Retail,2,15000,0.15,25500.0,5,0
2021-07-06,CUST0232,Earbuds,East,Retail,7,5000,0.13,30450.0,4,1
2021-07-07,CUST0136,Laptop,East,Online,12,75000,0.08,828000.0,1,1
2021-07-08,CUST0188,Laptop,North,Retail,10,75000,0.12,660000.0,4,0
2021-07-09,CUST0128,Tablet,North,Online,2,25000,0.13,43500.0,3,0
2021-07-10,CUST0201,Phone,South,Online,11,35000,0.05,365750.0,5,0
2021-07-11,CUST0127,Earbuds,West,Retail,4,5000,0.08,18400.0,2,1
2021-07-12,CUST0257,Watch,West,Online,2,15000,0.2,24000.0,4,0
2021-07-13,CUST0164,Phone,East,Partner,6,35000,0.23,161700.0,2,1
2021-07-14,CUST0035,Watch,East,Retail,8,15000,0.09,109200.0,4,0
2021-07-15,CUST0194,Tablet,East,Online,10,25000,0.08,230000.0,4,0
2021-07-16,CUST0191,Tablet,South,Retail,4,25000,0.05,95000.0,3,0
2021-07-17,CUST0104,Laptop,West,Retail,5,75000,0.17,311250.0,4,0
2021-07-18,CUST0023,Earbuds,North,Retail,4,5000,0.08,18400.0,3,0
2021-07-19,CUST0265,Watch,South,Online,3,15000,0.25,33750.0,3,0
2021-07-20,CUST0290,Phone,North,Partner,5,35000,0.08,161000.0,4,1
2021-07-21,CUST0260,Tablet,North,Partner,14,25000,0.1,315000.0,3,0
2021-07-22,CUST0075,Laptop,South,Online,9,75000,0.15,573750.0,5,0
2021-07-23,CUST0072,Laptop,North,Retail,8,75000,0.2,480000.0,4,0
2021-07-24,CUST0259,Watch,West,Online,8,15000,0.12,105600.0,4,0
2021-07-25,CUST0188,Tablet,North,Online,8,25000,0.11,178000.0,1,1
2021-07-26,CUST0173,Earbuds,West,Online,12,5000,0.25,45000.0,4,0
2021-07-27,CUST0290,Tablet,West,Retail,8,25000,0.0,200000.0,5,1
2021-07-28,CUST0045,Watch,West,Online,7,15000,0.22,81900.0,3,0
2021-07-29,CUST0061,Watch,East,Retail,8,15000,0.04,115200.0,5,1
2021-07-30,CUST0083,Tablet,North,Online,11,25000,0.2,220000.0,3,0
2021-07-31,CUST0123,Watch,South,Partner,14,15000,0.15,178500.0,5,0
2021-08-01,CUST0016,Tablet,South,Online,8,25000,0.09,182000.0,2,1
2021-08-02,CUST0066,Phone,North,Online,13,35000,0.22,354900.0,5,0
2021-08-03,CUST0145,Tablet,East,Partner,14,25000,0.0,350000.0,4,1
2021-08-04,CUST0162,Tablet,East,Retail,8,25000,0.06,188000.0,3,0
2021-08-05,CUST0234,Watch,West,Retail,12,15000,0.14,154800.0,3,1
2021-08-06,CUST0144,Watch,North,Online,10,15000,0.09,136500.0,4,1
2021-08-07,CUST0188,Laptop,North,Partner,7,75000,0.15,446250.0,5,0
2021-08-08,CUST0013,Laptop,South,Retail,12,75000,0.01,891000.0,3,1
2021-08-09,CUST0184,Phone,North,Online,1,35000,0.03,33950.0,2,1
2021-08-10,CUST0111,Laptop,East,Partner,4,75000,0.03,291000.0,4,1
2021-08-11,CUST0290,Tablet,North,Retail,13,25000,0.05,308750.0,4,0
2021-08-12,CUST0295,Watch,South,Retail,13,15000,0.11,173550.0,4,0
2021-08-13,CUST0215,Laptop,West,Partner,4,75000,0.19,243000.0,4,0
2021-08-14,CUST0120,Laptop,South,Partner,5,75000,0.23,288750.0,3,0
2021-08-15,CUST0055,Phone,South,Partner,10,35000,0.21,276500.0,5,0
2021-08-16,CUST0027,Phone,West,Partner,6,35000,0.05,199500.0,4,0
2021-08-17,CUST0118,Tablet,South,Online,4,25000,0.11,89000.0,2,1
2021-08-18,CUST0221,Watch,South,Partner,2,15000,0.05,28500.0,5,0
2021-08-19,CUST0231,Phone,North,Retail,6,35000,0.07,195300.0,4,0
2021-08-20,CUST0053,Laptop,North,Retail,8,75000,0.13,522000.0,3,0
2021-08-21,CUST0295,Watch,West,Online,8,15000,0.02,117600.0,4,1
2021-08-22,CUST0233,Watch,North,Retail,7,15000,0.05,99750.0,3,0
2021-08-23,CUST0158,Laptop,North,Retail,6,75000,0.23,346500.0,4,0
2021-08-24,CUST0269,Phone,South,Partner,2,35000,0.12,61600.0,5,0
2021-08-25,CUST0021,Laptop,East,Retail,7,75000,0.11,467250.0,2,1
2021-08-26,CUST0053,Watch,North,Online,11,15000,0.0,165000.0,4,1
2021-08-27,CUST0275,Earbuds,East,Partner,12,5000,0.06,56400.0,5,0
2021-08-28,CUST0281,Earbuds,North,Partner,14,5000,0.22,54600.0,5,0
2021-08-29,CUST0214,Tablet,North,Online,14,25000,0.04,336000.0,4,1
2021-08-30,CUST0031,Laptop,West,Partner,5,75000,0.1,337500.0,4,0
2021-08-31,CUST0183,Laptop,West,Partner,6,75000,0.0,450000.0,4,1
2021-09-01,CUST0023,Tablet,West,Online,10,25000,0.12,220000.0,5,0
2021-09-02,CUST0032,Tablet,East,Partner,8,25000,0.01,198000.0,5,1
2021-09-03,CUST0074,Tablet,South,Online,14,25000,0.2,280000.0,3,1
2021-09-04,CUST0010,Watch,North,Online,8,15000,0.21,94800.0,4,0
2021-09-05,CUST0054,Laptop,North,Retail,3,75000,0.2,180000.0,4,0
2021-09-06,CUST0052,Watch,North,Retail,12,15000,0.07,167400.0,5,1
2021-09-07,CUST0148,Tablet,East,Partner,12,25000,0.21,237000.0,4,0
2021-09-08,CUST0160,Laptop,West,Partner,14,75000,0.14,903000.0,4,0
2021-09-09,CUST0014,Watch,South,Online,7,15000,0.09,95550.0,5,0
2021-09-10,CUST0178,Watch,East,Partner,1,15000,0.16,12600.0,2,1
2021-09-11,CUST0053,Tablet,West,Online,1,25000,0.0,25000.0,3,1
2021-09-12,CUST0022,Laptop,East,Online,7,75000,0.04,504000.0,4,1
2021-09-13,CUST0030,Tablet,South,Partner,10,25000,0.19,202500.0,3,0
2021-09-14,CUST0191,Laptop,West,Online,9,75000,0.06,634500.0,1,1
2021-09-15,CUST0260,Earbuds,East,Retail,7,5000,0.15,29750.0,2,1
2021-09-16,CUST0205,Phone,South,Partner,10,35000,0.1,315000.0,4,1
2021-09-17,CUST0059,Phone,North,Retail,5,35000,0.21,138250.0,5,0
2021-09-18,CUST0264,Phone,South,Partner,8,35000,0.24,212800.0,4,0
2021-09-19,CUST0012,Tablet,North,Online,2,25000,0.22,39000.0,4,0
2021-09-20,CUST0119,Earbuds,East,Partner,9,5000,0.07,41850.0,3,1
2021-09-21,CUST0290,Laptop,West,Retail,6,75000,0.05,427500.0,5,0
2021-09-22,CUST0248,Watch,West,Online,13,15000,0.12,171600.0,5,0
2021-09-23,CUST0127,Laptop,East,Partner,9,75000,0.0,675000.0,4,1
2021-09-24,CUST0075,Watch,West,Partner,2,15000,0.01,29700.0,3,1
2021-09-25,CUST0204,Laptop,West,Partner,3,75000,0.14,193500.0,2,1
2021-09-26,CUST0049,Earbuds,North,Retail,12,5000,0.13,52200.0,2,1
2021-09-27,CUST0079,Watch,East,Retail,8,15000,0.25,90000.0,4,0
2021-09-28,CUST0241,Tablet,South,Partner,1,25000,0.05,23750.0,5,0
2021-09-29,CUST0154,Laptop,North,Online,10,75000,0.06,705000.0,5,0
2021-09-30,CUST0274,Laptop,East,Online,7,75000,0.03,509250.0,4,1
2021-10-01,CUST0096,Watch,North,Retail,7,15000,0.23,80850.0,5,0
2021-10-02,CUST0214,Tablet,South,Online,13,25000,0.19,263250.0,5,0
2021-10-03,CUST0294,Tablet,South,Retail,1,25000,0.21,19750.0,3,0
2021-10-04,CUST0209,Earbuds,East,Partner,9,5000,0.23,34650.0,4,0
2021-10-05,CUST0088,Tablet,South,Retail,8,25000,0.13,174000.0,5,0
2021-10-06,CUST0264,Tablet,North,Retail,4,25000,0.11,89000.0,3,1
2021-10-07,CUST0157,Tablet,South,Partner,10,25000,0.08,230000.0,5,0
2021-10-08,CUST0156,Phone,North,Online,11,35000,0.15,327250.0,5,0
2021-10-09,CUST0139,Earbuds,North,Retail,5,5000,0.11,22250.0,4,0
2021-10-10,CUST0121,Laptop,South,Retail,2,75000,0.11,133500.0,5,0
2021-10-11,CUST0065,Watch,East,Partner,13,15000,0.23,150150.0,5,0
2021-10-12,CUST0107,Laptop,West,Online,9,75000,0.25,506250.0,4,0
2021-10-13,CUST0147,Earbuds,South,Retail,12,5000,0.2,48000.0,3,1
2021-10-14,CUST0137,Watch,North,Partner,12,15000,0.19,145800.0,2,1
2021-10-15,CUST0162,Earbuds,North,Retail,6,5000,0.17,24900.0,3,0
2021-10-16,CUST0100,Tablet,South,Partner,3,25000,0.04,72000.0,4,1
2021-10-17,CUST0141,Watch,East,Online,12,15000,0.01,178200.0,2,1
2021-10-18,CUST0083,Tablet,East,Online,7,25000,0.17,145250.0,1,1
2021-10-19,CUST0177,Laptop,North,Online,9,75000,0.18,553500.0,2,1
2021-10-20,CUST0198,Laptop,North,Online,3,75000,0.01,222750.0,5,1
2021-10-21,CUST0112,Watch,East,Retail,2,15000,0.23,23100.0,5,0
2021-10-22,CUST0056,Watch,West,Retail,7,15000,0.02,102900.0,5,1
2021-10-23,CUST0179,Earbuds,South,Online,7,5000,0.07,32550.0,4,0
2021-10-24,CUST0186,Earbuds,North,Online,4,5000,0.17,16600.0,5,1
2021-10-25,CUST0218,Tablet,North,Online,11,25000,0.04,264000.0,5,1
2021-10-26,CUST0217,Watch,East,Retail,9,15000,0.01,133650.0,4,1
2021-10-27,CUST0120,Laptop,South,Online,14,75000,0.08,966000.0,4,0
2021-10-28,CUST0175,Earbuds,East,Online,8,5000,0.19,32400.0,2,1
2021-10-29,CUST0023,Earbuds,South,Online,13,5000,0.1,58500.0,5,1
2021-10-30,CUST0213,Laptop,South,Partner,13,75000,0.16,819000.0,4,0
2021-10-31,CUST0235,Earbuds,South,Online,1,5000,0.14,4300.0,4,0
2021-11-01,CUST0013,Tablet,North,Partner,1,25000,0.01,24750.0,4,1
2021-11-02,CUST0101,Watch,West,Partner,5,15000,0.25,56250.0,3,0
2021-11-03,CUST0024,Laptop,East,Online,6,75000,0.01,445500.0,3,1
2021-11-04,CUST0011,Watch,West,Partner,3,15000,0.24,34200.0,4,0
2021-11-05,CUST0273,Earbuds,East,Online,13,5000,0.14,55900.0,1,1
2021-11-06,CUST0281,Earbuds,South,Retail,9,5000,0.24,34200.0,5,0
2021-11-07,CUST0094,Laptop,North,Retail,12,75000,0.03,873000.0,4,1
2021-11-08,CUST0201,Tablet,West,Retail,10,25000,0.12,220000.0,4,1
2021-11-09,CUST0021,Phone,North,Retail,14,35000,0.04,470400.0,4,1
2021-11-10,CUST0211,Laptop,East,Partner,6,75000,0.01,445500.0,4,1
2021-11-11,CUST0140,Phone,North,Online,4,35000,0.15,119000.0,4,0
2021-11-12,CUST0293,Phone,North,Online,12,35000,0.05,399000.0,4,0
2021-11-13,CUST0298,Tablet,West,Online,7,25000,0.15,148750.0,5,0
2021-11-14,CUST0101,Phone,South,Retail,8,35000,0.03,271600.0,5,1
2021-11-15,CUST0028,Phone,North,Retail,9,35000,0.08,289800.0,5,0
2021-11-16,CUST0041,Tablet,South,Online,13,25000,0.2,260000.0,3,0
2021-11-17,CUST0146,Phone,East,Retail,11,35000,0.11,342650.0,4,0
2021-11-18,CUST0256,Phone,North,Online,6,35000,0.16,176400.0,5,0
2021-11-19,CUST0227,Phone,West,Online,6,35000,0.16,176400.0,4,1
2021-11-20,CUST0236,Laptop,East,Online,8,75000,0.21,474000.0,2,1
2021-11-21,CUST0013,Laptop,East,Online,12,75000,0.08,828000.0,4,0
2021-11-22,CUST0210,Laptop,West,Online,5,75000,0.17,311250.0,2,1
2021-11-23,CUST0229,Tablet,North,Online,14,25000,0.24,266000.0,3,0
2021-11-24,CUST0100,Earbuds,North,Online,3,5000,0.18,12300.0,5,0
2021-11-25,CUST0031,Phone,East,Retail,12,35000,0.12,369600.0,4,0
2021-11-26,CUST0016,Phone,North,Online,3,35000,0.16,88200.0,3,0
2021-11-27,CUST0137,Tablet,South,Online,13,25000,0.18,266500.0,5,0
2021-11-28,CUST0166,Phone,West,Retail,6,35000,0.15,178500.0,5,0
2021-11-29,CUST0100,Laptop,South,Retail,2,75000,0.0,150000.0,4,1
2021-11-30,CUST0109,Earbuds,North,Retail,6,5000,0.05,28500.0,3,0
2021-12-01,CUST0173,Watch,East,Online,13,15000,0.2,156000.0,5,0
2021-12-02,CUST0237,Phone,West,Partner,6,35000,0.07,195300.0,5,0
